CODIGO,DESCRICAO
394003006,DIV ESQ 430X400X15 MDP 3 OFF WHITE
394003021,DIV ESQ 430X400X15 MDP 3 BRANCO AC
394003070,DIV ESQ 430X400X15 MDP 3 PRETO ACETINADO
394003073,DIV ESQ 430X400X15 MDP 3 CUMARU
394003077,DIV ESQ 430X400X15 MDP 3 NATURE
394003108,DIV ESQ 430X400X15 MDP 3 GRAFITE
394003116,DIV ESQ 430X400X15 MDP 3 CINAMOMO
394004006,PRAT 425X380X15 MDP 4 OFF WHITE
394004021,PRAT 425X380X15 MDP 4 BRANCO AC
394004070,PRAT 425X380X15 MDP 4 PRETO ACETINADO
394004108,PRAT 425X380X15 MDP 4 GRAFITE
394005006,DIV CENTRAL 430X400X15 MDP 5 OFF WHITE
394005021,DIV CENTRAL 430X400X15 MDP 5 BRANC AC
394005070,DIV CENTRAL 430X400X15 MDP 5 PRETO ACE
394005073,DIV CENTRAL 430X400X15 MDP 5 CUMARU
394005077,DIV CENTRAL 430X400X15 MDP 5 NATURE
394005108,DIV CENTRAL 430X400X15 MDP 5 GRAFITE
394005116,DIV CENTRAL 430X400X15 MDP 5 CINAMOMO
394006006,DIV DIR 430X400X15 MDP 6 OFF WHITE
394006021,DIV DIR 430X400X15 MDP 6 BRANCO AC
394006070,DIV DIR 430X400X15 MDP 6 PRETO ACETINA
394006073,DIV DIR 430X400X15 MDP 6 CUMARU
394006077,DIV DIR 430X400X15 MDP 6 NATURE
394006108,DIV DIR 430X400X15 MDP 6 GRAFITE
394006116,DIV DIR 430X400X15 MDP 6 CINAMOMO
394007006,LAT DIR 430X400X15 MDP 7 OFF WHITE
394007021,LAT DIR 430X400X15 MDP 7 BRANCO AC
394007070,LAT DIR 430X400X15 MDP 7 PRETO ACETINADO
394007073,LAT DIR 430X400X15 MDP 7 CUMARU
394007077,LAT DIR 430X400X15 MDP 7 NATURE
394007108,LAT DIR 430X400X15 MDP 7 GRAFITE
394007116,LAT DIR 430X400X15 MDP 7 CINAMOMO
394008006,BASE 1600X450X15 MDP 8 OFF WHITE
394008021,BASE 1600X450X15 MDP 8 BRANCO AC
394008070,BASE 1600X450X15 MDP 8 PRETO ACETINADO
394008073,BASE 1600X450X15 MDP 8 CUMARU
394008077,BASE 1600X450X15 MDP 8 NATURE
394008108,BASE 1600X450X15 MDP 8 GRAFITE
394008116,BASE 1600X450X15 MDP 8 CINAMOMO
394009006,PORTA 392X392X15 MDP 11 OFF WHITE
394009021,PORTA 392X392X15 MDP 11 BRANCO AC
394009070,PORTA 392X392X15 MDP 11 PRETO ACETINADO
394009108,PORTA 392X392X15 MDP 11 GRAFITE
396001001,TAMPO 900X403X15 MDP N 1 BRANCO
396001070,TAMPO 900X403X15 MDP N 1 PRETO ACETINADO
396001116,TAMPO 900X403X15 MDP N 1 CINAMOMO
396002001,LAT DIR 1000X383X15 MDP N 2 BRANCO
396002070,LAT DIR 1000X383X15 MDP N 2 PRETO ACETINA
396002116,LAT DIR 1000X383X15 MDP N 2 CINAMOMO
396003001,PRAT FIXA 860X382X15 MDP N 3 BRANCO
396003070,PRAT FIXA 860X382X15 MDP N 3 PRETO ACETINAD
396003116,PRAT FIXA 860X382X15 MDP N 3 CINAMOMO
396004001,LAT ESQ 1000X383X15 MDP N 4 BRANCO
396004070,LAT ESQ 1000X383X15 MDP N 4 PRETO ACETINADO
396004116,LAT ESQ 1000X383X15 MDP N 4 CINAMOMO
396005001,BASE 900X403X15 MDP N 5 BRANCO
396005070,BASE 900X403X15 MDP N 5 PRETO ACETINADO
396005116,BASE 900X403X15 MDP N 5 CINAMOMO
396006001,PORTA 994X435X15 MDP N 6 BRANCO
396006006,PORTA 994X435X15 MDP N 6 OFF WHITE
396006070,PORTA 994X435X15 MDP N 6 PRETO ACETINADO
396006077,PORTA 994X435X15 MDP N 6 NATURE
396006116,PORTA 994X435X15 MDP N 6 CINAMOMO
396007001,PRAT MOVEL 860X382X15 MDP N 7 BRANCO
396007070,PRAT MOVEL 860X382X15 MDP N 7 PRETO ACET
396007116,PRAT MOVEL 860X382X15 MDP N 7 CINAMOMO
399001070,TAMPO 1366X400X15 MDP 6 PRETO ACETINADO
399001073,TAMPO 1366X400X15 MDP 6 CUMARU
399001077,TAMPO 1366X400X15 MDP 6 NATURE
399001116,TAMPO 1366X400X15 MDP 6 CINAMOMO
399002021,LAT DIR 350X380X15 MDP 5 BRANCO AC
399002070,LAT DIR 350X380X15 MDP 5 PRETO ACETINADO
399002073,LAT DIR 350X380X15 MDP 5 CUMARU
399002077,LAT DIR 350X380X15 MDP 5 NATURE
399002108,LAT DIR 350X380X15 MDP 5 GRAFITE
399002116,LAT DIR 350X380X15 MDP 5 CINAMOMO
399003021,PRAT 649X380X15 MDP 4 BRANCO AC
399003070,PRAT 649X380X15 MDP 4 PRETO ACETINADO
399003073,PRAT 649X380X15 MDP 4 CUMARU
399003077,PRAT 649X380X15 MDP 4 NATURE
399003108,PRAT 649X380X15 MDP 4 GRAFITE
399003116,PRAT 649X380X15 MDP 4 CINAMOMO
399004021,DIV 350X380X15 MDP 3 BRANCO AC
399004070,DIV 350X380X15 MDP 3 PRETO ACETINADO
399004073,DIV 350X380X15 MDP 3 CUMARU
399004077,DIV 350X380X15 MDP 3 NATURE
399004108,DIV 350X380X15 MDP 3 GRAFITE
399004116,DIV 350X380X15 MDP 3 CINAMOMO
399005021,LAT ESQ 350X380X15 MDP 2 BRANCO AC
399005070,LAT ESQ 350X380X15 MDP 2 PRETO ACETINADO
399005073,LAT ESQ 350X380X15 MDP 2 CUMARU
399005077,LAT ESQ 350X380X15 MDP 2 NATURE
399005108,LAT ESQ 350X380X15 MDP 2 GRAFITE
399005116,LAT ESQ 350X380X15 MDP 2 CINAMOMO
399006021,BASE 1366X400X15 MDP 1 BRANCO AC
399006070,BASE 1366X400X15 MDP 1 PRETO ACETINADO
399006073,BASE 1366X400X15 MDP 1 CUMARU
399006077,BASE 1366X400X15 MDP 1 NATURE
399006108,BASE 1366X400X15 MDP 1 GRAFITE
399006116,BASE 1366X400X15 MDP 1 CINAMOMO
399007006,PORTA BASC 660X235X15 MDP 8 OFF WHITE
399007021,PORTA BASC 660X235X15 MDP 8 BRANCO AC
399007070,PORTA BASC 660X235X15 MDP 8 PRETO ACETINAD
399007108,PORTA BASC 660X235X15 MDP 8 GRAFITE
399008006,PORTA DIR/ESQ 345X336X15 MDP 9 OFF WHITE
399008021,PORTA DIR/ESQ 345X336X15 MDP 9 BRANCO AC
399008070,PORTA DIR/ESQ 345X336X15 MDP 9 PRETO ACE
399008108,PORTA DIR/ESQ 345X336X15 MDP 9 GRAFITE
400001070,TAMPO 900X400X15 MDP 1 PRETO ACETINADO
400001073,TAMPO 900X400X15 MDP 1 CUMARU
400001077,TAMPO 900X400X15 MDP 1 NATURE
400001116,TAMPO 900X400X15 MDP 1 CINAMOMO
400002021,LAT DIR 350X380X15 MDP 2 BRANCO AC
400002070,LAT DIR 350X380X15 MDP 2 PRETO ACETINADO
400002073,LAT DIR 350X380X15 MDP 2 CUMARU
400002077,LAT DIR 350X380X15 MDP 2 NATURE
