CODIGO,PECA,DESCRICAO
501151002,804005116,TAMPO GAV 1000X380X15 MDP 5 CINAMOMO
501151004,804011116,FRT GAV ESQ 510X335X15 MDP 11 CINAMO
501151004,804012116,FRT GAV DIR 510X335X15 MDP 12 CINAMO
501152001,805005116,PRAT MAIOR 779X379X15 MDP 5 CINAMOMO
501152002,805002006,LAT ESQ 420X398X15 MDP 2 OFF WHITE
501152002,805003006,PRAT MENOR 378X378X15 MDP 3 OFF WHITE
501153007,806001006,TAMPO 1200X540X25 MDP 1 OFF WHITE
501153007,806008006,C F GAV 245X100X12 MDP 8 OFF WHITE
501154001,603014171,
501154002,807004021,PRAT 535X248X15 MDP 4 BCO AC
501154002,807008021,LAT GAV 300X75X15 MDP 8 BCO AC
501154003,807003116,LAT DIR 730X538X15 MDP 3 CINAMOMO
501154003,807007116,FRT GAV 730X90X15 MDP 7 CINAMOMO
501155001,808001116,TAMPO 680X302X15 MDP 1 CINAMOMO
501155001,808002116,LAT ESQ 1145X300X15 MDP 2 CINAMOMO
501155001,808004116,LAT DIR 1145X300X15 MDP 4 CINAMOMO
501155001,808006116,PORTA BASC 640X370X15 MDF 6 CINAMOMO
501155002,603001372,KIT
501155002,808001116,TAMPO 680X302X15 MDP 1 CINAMOMO
501155002,808002006,LAT ESQ 1145X300X15 MDP 2 OFF WHITE
501155002,808003116,BASE 680X302X15 MDP 3 CINAMOMO
501155002,808004006,LAT DIR 1145X300X15 MDP 4 OFF WHITE
501155002,808006006,PORTA BASC 640X370X15 MDF 6 OFF WHITE
501155002,808007006,TRAV SUP 620X132X15 MDP 7 OFF WHITE
501157002,810001116,1.6 PAINEL SUP 1570X400X15 MDP 1 CINAMOMO
501157003,810004006,1.6 APLIQUE 1200X300X15 MDF 4 OFF WHITE
501158002,811004116,TAMPO MAIOR 1100X450X25 MDP 4 CINAMOMO
501158002,811006116,LAT MAIOR 730X448X25 MDP 6 CINAMOMO
